Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
2011-10-26 19:49:22,43.5043,38.8428,7.0,0.46,Ml,2.4,Tuşba (Van),142971
2011-11-05 17:25:22,43.5127,38.8797,7.0,0.35,Ml,2.4,Tuşba (Van),145379
2011-11-09 05:20:48,43.5845,38.8242,7.0,0.27,Md,2.4,Tuşba (Van),146189
2011-11-05 17:44:08,43.156,38.7148,7.0,0.53,Ml,2.4,Van Gölü - [05.08 km] Tuşba (Van),145383
2011-11-09 04:15:33,43.5748,38.8775,7.0,0.63,Md,2.4,Tuşba (Van),146179
2011-11-06 12:33:06,43.408,38.8233,7.0,0.58,Md,2.4,Tuşba (Van),145571
2011-11-06 04:35:36,43.1722,38.6743,7.0,0.28,Ml,2.4,Tuşba (Van),145487
2011-11-08 23:13:19,43.5015,38.923,7.03,0.61,Md,2.4,Van Gölü - [04.23 km] Tuşba (Van),146130
2011-11-06 05:07:29,43.5148,38.6883,7.0,0.85,Ml,2.4,Tuşba (Van),145491
2011-10-31 06:47:06,43.1977,38.592,7.0,0.64,Ml,2.4,Van Gölü - [01.93 km] Tuşba (Van),144066
2011-11-08 22:32:13,43.0897,38.7255,7.0,0.3,Md,2.4,Van Gölü - [10.16 km] Tuşba (Van),146121
2011-11-05 21:27:56,43.1793,38.6535,6.93,0.72,Ml,2.4,Tuşba (Van),145426
2011-10-31 06:13:18,43.2613,38.6965,26.35,0.11,Ml,2.4,Tuşba (Van),144060
2011-11-03 10:21:03,43.098,38.7155,7.0,0.67,Ml,2.4,Van Gölü - [08.98 km] Tuşba (Van),144809
2011-11-05 21:32:12,43.4732,38.8942,7.0,0.58,Ml,2.4,Van Gölü - [04.66 km] Tuşba (Van),145427
2011-10-31 05:39:40,43.4633,38.8867,7.0,0.47,Ml,2.4,Van Gölü - [04.78 km] Tuşba (Van),144054
2011-11-08 21:01:16,43.4303,38.8518,7.0,0.41,Ml,2.4,Tuşba (Van),146105
2011-11-08 21:09:59,43.5663,38.8043,7.0,0.24,Ml,2.4,Tuşba (Van),146107
2011-10-31 00:26:48,43.1733,38.5922,7.0,0.27,Ml,2.4,Van Gölü - [03.96 km] Tuşba (Van),143989
2011-11-03 10:14:16,43.2017,38.6938,7.0,0.53,Ml,2.4,Tuşba (Van),144808
2011-11-05 22:43:38,43.4295,38.8208,7.0,0.47,Ml,2.4,Tuşba (Van),145442
2011-11-06 00:10:37,43.2117,38.677,7.0,0.41,Ml,2.4,Tuşba (Van),145454
2011-11-06 00:43:11,43.5073,38.7355,7.0,0.8,Ml,2.4,Tuşba (Van),145459
2011-11-02 19:51:56,43.4858,38.7762,7.0,0.77,Ml,2.4,Tuşba (Van),144637
2011-10-30 17:34:05,43.1337,38.5888,7.0,0.39,Ml,2.4,Van Gölü - [07.43 km] Tuşba (Van),143884
2011-11-04 06:43:01,43.3047,38.7697,7.0,0.25,Md,2.4,Tuşba (Van),145000
2011-11-01 11:58:40,43.2063,38.679,7.0,0.52,Ml,2.4,Tuşba (Van),144323
2011-11-06 01:53:43,43.2205,38.7455,7.0,0.21,Ml,2.4,Tuşba (Van),145470
2011-11-06 02:05:24,43.6528,38.5332,7.0,0.6,Ml,2.4,İpekyolu (Van),145472
2011-11-06 13:58:41,43.4523,38.81,7.0,0.7,Md,2.4,Tuşba (Van),145588
2011-11-01 05:48:20,43.5347,38.9387,10.54,0.57,Md,2.4,Van Gölü - [03.50 km] Tuşba (Van),144273
2011-11-01 01:29:20,36.435,37.406,7.0,0.27,Md,2.4,Andırın (Kahramanmaraş),144235
2011-11-06 06:36:25,43.4825,38.7277,7.0,0.95,Md,2.4,Tuşba (Van),145508
